"Counting Station",801,802,803,804,805,806,807,808,809,Total
N1102,103,78,169,7,8,71,10,99,392,937 
N1103,217,171,406,18,23,143,20,210,351,1559 
N1104,152,109,236,7,23,100,14,137,272,1050 
N1201,773,446,1211,44,84,537,94,838,1471,5498 
N1301,109,58,147,7,5,58,12,101,144,641 
N1302,459,258,787,10,32,222,40,457,584,2849 
N1303,243,107,400,7,21,140,17,237,247,1419 
N1401,721,338,1404,27,91,860,92,741,765,5039 
N1501,546,311,993,33,66,378,70,712,1053,4162 
N1601,73,35,100,3,9,59,5,73,117,474 
N1602,90,51,110,9,13,51,12,93,281,710 
N1604,109,90,199,16,31,154,21,124,1071,1815 
N1606,74,61,160,11,17,51,8,123,153,658 
N1701,465,235,914,26,41,381,49,548,564,3223 
N1702,620,396,988,25,69,322,72,533,958,3983 
N1801,64,86,129,2,11,49,7,102,140,590 
N1802,92,71,164,8,10,50,14,99,213,721 
N1803,113,80,177,8,13,83,14,111,167,766 
N1804,109,120,247,1,18,88,10,174,301,1068 
N1805,21,26,82,2,4,24,3,35,84,281 
P0101,408,258,817,21,44,264,91,450,878,3231 
P0201,741,352,1350,27,61,303,132,717,950,4633 
P0301,302,165,539,14,38,125,58,364,391,1996 
P0302,342,230,705,27,55,251,113,511,572,2806 
P0401,617,343,910,34,77,413,129,699,889,4111 
P0501,832,420,1477,49,113,505,212,1016,1025,5649 
P0601,679,375,1526,30,49,480,951,818,1177,6085 
P0701,521,341,1202,29,48,466,901,721,792,5021 
P0801,492,251,806,28,61,424,92,558,1150,3862 
P0802,118,63,199,5,10,58,14,128,159,754 
P0901,663,361,1089,28,61,440,92,639,1116,4489 
P1001,723,466,1512,26,101,413,105,881,1359,5586 
P1002,196,191,381,10,28,76,11,197,453,1543 
P1101,604,357,1173,43,89,399,95,818,876,4454 
P1201,499,340,864,25,47,296,54,551,615,3291 
P1202,152,84,271,11,21,103,21,175,196,1034 
P1301,46,19,81,1,4,19,2,48,136,356 
P1302,322,146,548,16,48,144,59,401,737,2421 
P1303,75,64,139,8,6,52,26,95,184,649 
P1304,111,87,188,6,16,62,11,116,239,836 
P1401,663,410,1405,54,77,443,291,884,1180,5407 
P1501,730,422,1212,50,85,536,130,859,1048,5072 
P1601,716,384,1298,33,71,254,115,724,755,4350 
P1701,355,205,760,13,62,170,58,450,567,2640 
P1702,106,63,215,6,14,53,14,131,359,961 
P1703,113,112,238,6,20,70,11,110,304,984 
P1704,148,95,347,5,22,58,32,168,275,1150 
P1801,183,131,347,9,25,89,16,209,472,1481 
P1802,266,156,431,16,21,112,37,300,628,1967 
P1803,80,83,199,11,19,33,9,99,177,710 
P1901,414,366,770,17,51,174,30,467,571,2860 
Q0101,528,466,1025,28,98,226,61,592,1129,4153 
Q0102,94,62,193,15,14,44,13,109,297,841 
Q0201,403,403,792,23,66,196,49,463,852,3247 
Q0401,283,249,520,13,56,135,29,289,562,2136 
Q0501,276,271,574,16,44,128,27,333,624,2293 
Q0601,730,574,1139,32,93,691,64,735,761,4819 
Q0701,734,489,1192,23,54,241,37,630,620,4020 
Q0801,463,458,825,18,47,271,49,443,569,3143 
Q0901,502,536,896,33,78,449,284,581,774,4133 
Q1001,723,592,1258,65,100,639,116,931,1017,5441 
Q1101,815,548,1318,30,75,473,210,795,837,5101 
Q1201,862,661,1317,46,80,491,78,854,948,5337 
Q1301,589,436,1008,18,49,252,67,628,536,3583 
Q1401,879,572,1498,29,89,541,90,954,977,5629 
Q1501,182,129,295,12,13,113,25,201,150,1120 
Q1502,357,244,682,19,37,221,34,378,496,2468 
Q1601,806,616,1372,42,81,594,119,884,769,5283 
Q1701,878,703,1565,50,103,652,147,939,926,5963 
Q1801,981,744,1631,29,76,545,213,988,938,6145 
Q1901,1234,815,1883,51,88,550,208,1059,1048,6936 
Q1902,430,328,793,15,38,210,78,418,422,2732 
Q2001,813,593,1483,65,87,709,140,976,1307,6173 
Q2101,877,658,1554,48,96,639,106,1004,1275,6257 
Q2201,835,583,1366,35,99,416,86,832,1217,5469 
Q2301,1052,670,1663,46,112,610,91,1075,1305,6624 
Q2401,617,396,1465,66,106,1190,173,979,767,5759 
Q2501,880,554,1445,61,98,595,84,827,1590,6134 
Q2601,285,204,469,13,34,123,16,282,212,1638 
Q2602,1061,906,1704,58,105,455,71,929,1037,6326 
R0101,736,480,1301,27,77,240,42,659,649,4211 
R0102,145,79,286,9,15,49,3,151,166,903 
R0201,557,482,862,33,91,415,68,665,658,3831 
R0301,717,516,1228,66,88,594,75,925,1093,5302 
R0401,958,534,1644,30,99,318,47,980,757,5367 
R0501,826,478,1462,29,72,323,60,834,814,4898 
R0601,419,267,771,20,32,169,48,456,380,2562 
R0602,344,291,582,9,40,132,27,346,353,2124 
